epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,822.884,0.96543,0.96369,1.0719,0.71633,0.5066,0.67525,0.43435,1.51403,1.53086,1.32492,0.0015941,0.0015941,0.0015941
43,841.706,1.00054,0.94987,1.08243,0.68839,0.6,0.68378,0.41733,1.61034,1.64517,1.33868,0.0015842,0.0015842,0.0015842
44,860.494,0.89615,0.93081,1.05159,0.6694,0.66667,0.7966,0.41454,1.66529,1.47979,1.36,0.0015743,0.0015743,0.0015743
45,879.399,0.9638,0.945,1.07715,0.86982,0.73333,0.83456,0.39762,1.83265,1.44303,1.44019,0.0015644,0.0015644,0.0015644
46,899.376,0.89184,0.88301,1.02478,0.73157,0.73333,0.76979,0.35325,1.91509,1.73644,1.56075,0.0015545,0.0015545,0.0015545
47,919.015,0.84715,0.9614,1.00601,0.83305,0.66543,0.72338,0.31813,1.88637,1.70436,1.60269,0.0015446,0.0015446,0.0015446
48,938.193,0.84504,0.8027,1.00709,0.77998,0.73333,0.74436,0.31445,1.72487,1.67619,1.48092,0.0015347,0.0015347,0.0015347
49,957.042,0.84491,0.89979,1.06183,0.76524,0.65283,0.68545,0.34505,1.71443,1.53167,1.49684,0.0015248,0.0015248,0.0015248
50,976.107,0.92995,0.89804,1.07726,0.80304,0.66667,0.75068,0.36056,1.86222,1.66358,1.59374,0.0015149,0.0015149,0.0015149
51,996.296,0.97508,0.92662,1.15092,0.66995,0.67717,0.70968,0.36372,1.70133,1.66549,1.56641,0.001505,0.001505,0.001505
52,1016,0.84886,0.93393,1.03115,0.7696,0.53333,0.66547,0.35592,1.59895,1.82018,1.56225,0.0014951,0.0014951,0.0014951
53,1035.62,1.00494,0.97933,1.08857,0.60566,0.6,0.54784,0.33692,1.53564,1.98321,1.5203,0.0014852,0.0014852,0.0014852
