epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5792,1.64041,4.34684,1.63536,0.00352,0.84091,0.01938,0.00989,1.46536,4.07776,1.68198,4e-05,4e-05,4e-05
2,47.0934,1.51272,4.11519,1.50217,0.0039,0.93182,0.07033,0.03518,1.3405,3.86008,1.51416,9.01e-05,9.01e-05,9.01e-05
3,66.4354,1.12383,3.62319,1.32597,0.0041,0.97727,0.16055,0.09403,1.13332,3.85434,1.33944,0.00012832,0.00012832,0.00012832
4,86.007,1.12491,3.39571,1.41279,0.0041,0.97727,0.2554,0.18708,1.06226,3.74507,1.26495,0.00015466,0.00015466,0.00015466
5,105.038,0.96704,3.23443,1.33645,0.00419,1,0.31638,0.24886,1.09512,3.59707,1.16308,0.00016912,0.00016912,0.00016912
6,124.539,1.02651,2.94017,1.08466,0.00419,1,0.36772,0.27262,0.92711,3.50151,1.10893,0.0001717,0.0001717,0.0001717
7,143.19,0.90457,2.78949,1.09756,0.00419,1,0.43658,0.31889,0.8966,3.48533,1.09503,0.0001624,0.0001624,0.0001624
8,161.848,1.08678,2.78522,1.24982,0.00419,1,0.47746,0.35785,0.90482,3.46266,1.09705,0.00014122,0.00014122,0.00014122
9,180.945,0.86509,2.79501,1.09221,0.00419,1,0.54562,0.41987,0.91525,3.35951,1.06676,0.00010816,0.00010816,0.00010816
10,199.079,1.01008,2.73892,1.06361,0.00936,0.85532,0.58077,0.45429,0.88983,3.35873,1.064,6.322e-05,6.322e-05,6.322e-05
