epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.839,1.45055,3.5053,1.50301,0.00381,0.90909,0.0223,0.01023,1.49517,4.14254,1.73078,4e-05,4e-05,4e-05
2,46.396,1.61931,3.54074,1.58717,0.0039,0.93182,0.05982,0.03472,1.34373,3.97453,1.5187,9.901e-05,9.901e-05,9.901e-05
3,65.124,1.18078,3.31689,1.26082,0.004,0.95455,0.1059,0.05663,1.21103,3.94444,1.40697,0.000156832,0.000156832,0.000156832
4,83.3575,1.28299,3.21495,1.3459,0.0041,0.97727,0.30802,0.16479,1.07583,3.79576,1.31401,0.000213466,0.000213466,0.000213466
5,102.074,1.22521,3.13107,1.26444,0.00419,1,0.41819,0.23138,1.14604,3.6668,1.21849,0.000268912,0.000268912,0.000268912
6,120.172,1.10759,2.41083,1.1497,0.00419,1,0.46604,0.29057,1.14168,3.60975,1.16555,0.00032317,0.00032317,0.00032317
7,138.809,1.27147,2.37991,1.17881,0.00419,1,0.55096,0.36209,1.01527,3.4704,1.09128,0.00037624,0.00037624,0.00037624
8,157.25,1.13885,2.11054,1.16448,0.00419,1,0.54397,0.36812,0.96323,3.46962,1.07996,0.000428122,0.000428122,0.000428122
9,175.641,1.24011,1.98172,1.22412,1,0.16509,0.6142,0.41113,1.01701,3.36873,1.0728,0.000478816,0.000478816,0.000478816
10,193.965,1.24527,1.84458,1.21193,1,0.21787,0.63173,0.3959,1.00267,3.32575,1.09125,0.000528322,0.000528322,0.000528322
11,212.162,1.23059,1.88471,1.28676,1,0.29497,0.6184,0.43147,1.07239,3.2881,1.09871,0.00057664,0.00057664,0.00057664
12,230.306,1.20154,2.1498,1.20058,1,0.33263,0.59567,0.4123,1.12582,3.19836,1.1477,0.00062377,0.00062377,0.00062377
13,248.698,1.08195,1.80919,1.16787,0.92222,0.26969,0.47962,0.3291,1.11447,3.40262,1.16141,0.000669712,0.000669712,0.000669712
14,266.8,1.08015,1.96409,1.18627,0.29699,0.25,0.3029,0.22621,1.0783,3.3223,1.12531,0.000714466,0.000714466,0.000714466
15,285.461,1.21129,1.8523,1.18999,0.79102,0.36364,0.48054,0.31048,0.91396,3.236,1.0388,0.000758032,0.000758032,0.000758032
16,304.47,1.12167,1.86372,1.15983,0.65722,0.25,0.44819,0.27404,0.9939,3.39395,1.10149,0.00080041,0.00080041,0.00080041
17,323.308,1.06322,1.62196,1.08598,0.88473,0.17501,0.35177,0.2083,1.13103,3.49949,1.19811,0.0008416,0.0008416,0.0008416
18,341.806,1.16118,1.71822,1.19235,0.83116,0.18182,0.43258,0.28578,1.10083,3.26291,1.19868,0.000881602,0.000881602,0.000881602
19,360.142,1.10612,1.60661,1.19712,0.92042,0.26331,0.54743,0.35892,0.95434,3.22506,1.12668,0.000920416,0.000920416,0.000920416
20,379.425,1.07082,1.66543,1.08204,0.89649,0.22727,0.56435,0.39885,1.07856,3.16148,1.27859,0.000958042,0.000958042,0.000958042
21,398.191,0.98527,1.63947,1.14356,0.53799,0.25,0.4456,0.23169,1.07605,3.21842,1.24158,0.00099448,0.00099448,0.00099448
22,417.373,1.30067,1.70676,1.24858,0.48387,0.22727,0.32121,0.16362,1.32082,3.18671,1.40968,0.00102973,0.00102973,0.00102973
23,436.294,1.12274,1.55318,1.19969,0.23345,0.20771,0.19944,0.08552,1.51646,3.25669,1.63898,0.00106379,0.00106379,0.00106379
24,455.099,1.14482,1.61872,1.13375,0.36703,0.15909,0.20274,0.05483,1.67779,3.25417,2.07157,0.00109667,0.00109667,0.00109667
25,474.626,0.95688,1.49785,1.07977,0.18593,0.15909,0.13702,0.03837,1.75013,3.23506,2.17285,0.00112835,0.00112835,0.00112835
26,493.109,1.09575,1.49073,1.14832,0.65013,0.20455,0.29275,0.11006,1.39323,3.28018,1.59142,0.00115885,0.00115885,0.00115885
27,511.892,1.03782,1.42122,1.10651,0.64692,0.22727,0.32573,0.13657,1.31078,2.98217,1.50342,0.00118816,0.00118816,0.00118816
28,530.115,0.92796,1.47646,1.12167,0.28546,0.26345,0.26441,0.09668,1.3544,3.06083,1.5715,0.00121628,0.00121628,0.00121628
29,548.401,1.07624,1.37903,1.17531,0.28546,0.26345,0.26441,0.09668,1.3544,3.06083,1.5715,0.00124322,0.00124322,0.00124322
30,567.695,1.115,1.51453,1.22997,0.31869,0.29545,0.26888,0.09394,1.38955,3.12164,1.57853,0.00126896,0.00126896,0.00126896
31,587.043,1.15391,1.50795,1.15537,0.30982,0.31818,0.25274,0.12355,1.35204,3.30713,1.4685,0.00129352,0.00129352,0.00129352
32,606.736,0.94154,1.32836,1.10514,0.48148,0.63636,0.55487,0.2967,1.21234,2.76866,1.3044,0.00131689,0.00131689,0.00131689
33,626.121,0.95608,1.34939,1.10372,0.48148,0.63636,0.55487,0.2967,1.21234,2.76866,1.3044,0.00133907,0.00133907,0.00133907
34,646.406,1.1095,1.56636,1.13926,0.78548,0.70455,0.84104,0.51419,1.09464,2.37436,1.2689,0.0013466,0.0013466,0.0013466
35,665.791,1.00343,1.35043,1.13157,0.78971,0.85359,0.90291,0.62779,1.10741,2.32915,1.24237,0.0013268,0.0013268,0.0013268
36,684.583,1.04977,1.53247,1.14162,0.94442,0.77243,0.92825,0.64795,1.07819,1.94719,1.1714,0.001307,0.001307,0.001307
37,703.371,0.99338,1.29135,1.10708,0.94442,0.77243,0.92825,0.64795,1.07819,1.94719,1.1714,0.0012872,0.0012872,0.0012872
38,722.17,1.139,1.59584,1.25483,0.79563,0.77273,0.90021,0.59317,1.12577,1.86099,1.17661,0.0012674,0.0012674,0.0012674
39,741.025,1.05264,1.33762,1.19042,0.7994,0.81818,0.90486,0.61928,1.08729,1.75835,1.1503,0.0012476,0.0012476,0.0012476
40,760.66,0.98208,1.30333,1.07756,0.81505,0.81818,0.88786,0.6335,0.99661,1.68609,1.10278,0.0012278,0.0012278,0.0012278
